Mã hàng,Mã vạch,Tên hàng,ĐVT,Parent_SKU
TAM2205,8859160402665,Nekko cho mèo con cá ngừ rắc thịt gà kèm nước sốt 70g (gói),Gói,
TAM2205,497655585823499,,Thùng,
TAM2206,8859160402122,Nekko Gold dạng sốt kem cá ngừ và dầu dừa 85g (lon),Lon,
TAM2206,497655585823514,,Thùng,
TAM2207,8859160402115,Nekko Gold dạng sốt kem cá ngừ rắc cá hồi 85g (lon),Lon,
TAM2207,497655585823513,,Thùng,
TAM2208,8859160402092,Nekko Gold cá ngừ rắc cá cơm sữa dạng thạch 85g (lon),Lon,
TAM2208,497655585823508,,Thùng,
TAM2209,8859160400517,Nekko Gold cá ngừ rắc cá bào dạng thạch 85g (lon),Lon,
TAM2209,497655585823507,,Thùng,
TAM2210,8859160400524,Nekko Gold cá ngừ và thịt gà rắc tôm và sò điệp dạng thạch 85g (lon),Lon,
TAM2210,497655585823512,,Thùng,
TAM2211,8859160402108,Nekko Gold cá ngừ rắc hải sản dạng nước sốt 85g (lon),Lon,
TAM2211,497655585823510,,Thùng,
TAM2212,8859160400494,Nekko Gold cá ngừ và thịt gà dạng nước sốt 85g (lon),Lon,
TAM2212,497655585823511,,Thùng,
TAM2213,8859160400487,Nekko Gold cá ngừ rắc cá hồi dạng nước sốt 85g (lon),Lon,
TAM2213,497655585823509,,Thùng,
TAM2214,8859160402245,Nekko Gold vị cá ngừ dạng kem 14g (thanh),Gói,
TAM2214,497655585823515,,Thùng,
TAM2215,8859160402252,Nekko Gold vị cá ngừ và thịt gà dạng kem 14g (thanh),Gói,
TAM2215,497655585823519,,Thùng,
TAM2216,8859160402269,Nekko Gold vị cá ngừ và cá hồi dạng kem 14g (thanh),Gói,
TAM2216,497655585823517,,Thùng,
TAM2217,8859160402283,Nekko Gold vị cá ngừ và hải sản dạng kem 14g (thanh),Gói,
TAM2217,497655585823518,,Thùng,
TAM2218,8859160402276,Nekko Gold vị cá ngừ và cá bào dạng kem 14g (thanh),Gói,
TAM2218,497655585823516,,Thùng,
TAM2219,8850477027763,Me-O Delite Tuna Mousse with Goat Milk topping Katsuobushi for Kitten 70g ( 48 x 1 / Carton ),Gói,
TAM2220,8850477026506,Me-O Delite Tuna and Chicken Drumstick Flake in Jelly 70g ( 48 x 1 / Carton),Gói,
TAM2221,8850477026292,Me-O Delite Tuna with Shrimp in Gravy 70g ( 48 x 1 / Carton ),Gói,
TAM2222,8850477026285,Me-O Delite Tuna with Chicken Flake in Gravy - 70g ( 48 x 1 / Carton ),Gói,
TAM2228,4520699695470,TAMSSpoonthạchcngừ cnvằncbàoKCPG60g,Gói,
TAM2229,4520699695289,TAMSSpoonthạch cngừ cnvằn gàKCPG60g,Gói,
TAM2230,4520699602300,TAmèoSSpoon dạng thạch vị cngừ 60g,Gói,
TAM2231,4520699609897,TA mèo SSpoon sốt vị cángừ 60g,Gói,
TAM2232,4520699610435,TAmèoSSpoon sốt cngừ cnvằn gà 60g,Gói,
TAM2233,4520699604588,TAmèoSSpoon thạch cngừ & cábào 60g,Gói,
TAM2234,4520699603277,TAmèoSSpoon thạch cá ngừ & gà 60g,Gói,
TAM2238,4901133618536,TABS cho mèo hương gà và sò (CIAO Tuna (Maguro) & Chicken Fillet Scallop Flavor (IC201)),Gói,
TAM2239,4901133618604,"TABS cho mèo hương vị thịt gà, cá ngừ và sò (CIAO Soup Tuna (Maguro) & Scallop Topping Chicken Fillet (IC211))",Gói,
TAM2240,4901133618574,TABS cho mèo hương vị thịt gà và sò (CIAO Chicken Fillet Scallop Flavor (IC205)),Gói,
TAM2241,4901133618628,TABS cho mèo hương vị thịt gà và sò (CIAO Soup Chicken Fillet & Scallop (IC213)),Gói,
TAM2242,8009470014601,TA hỗn hợp hoàn chỉnh cho mèo-Monge VetSolution Dermatosis Feline 100g x 24hộp/thùng,Hộp,
TAM2243,8009470014618,TA hỗn hợp hoàn chỉnh cho mèo-Monge VetSolution Gastrointestinal Feline 100g x 24hộp/thùng,Hộp,
TAM2244,8009470014625,TA hỗn hợp hoàn chỉnh cho mèo-Monge VetSolution Urinary Struvite Feline 100g 100g x 24hộp/thùng,Hộp,
TAM2245,8009470014649,TA hỗn hợp hoàn chỉnh cho mèo-Monge VetSolution Renal and Oxalate Feline 100g x 24hộp/thùng,Hộp,
TAM2246,8936217950116,5 Plus Catchy Thịt đỏ cá ngừ trong thạch cho mèo con 400g (TP0223),Hộp,
TAM2247,8938531003868,5 Plus Catchy Cá ngừ và cá thu trong thạch 70g (TP0176),Gói,
TAM2249,8938531003837,5 Plus Catchy Cá ngừ và cá tráp trong thạch 70g (TP0173),Gói,
