"Mã nhóm / tiền tố","Tình trạng","Ngành suy ra","Nhóm hàng","Số mã","Mã ví dụ","Tên ví dụ"
"VFS","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","TA","Hàng hóa","1","VFS01","VEGGIEDENT FR3SH S"
"DTP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","YT","Thuốc","1","DTP1002","AA-Vicom - 500ml"
"TAN","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","YT","Thuốc","1","TAN2057","Pet - ATP 3+ - KLT 600mg (4 vỉ x 10 Viên)"
"HKSĐAC","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐAC0000","Amoxicillin/clavulanic acid 20/10µg (Ac)"
"HKSĐAK","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐAK0000","Amikacin 30µg (Ak)"
"HKSĐAS","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐAS0000","Ampicillin/sulbactam 10/10µg (As)"
"HKSĐAZ","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐAZ0000","Azithromycin 15µg   (Az)"
"HKSĐBT","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐBT0000","Trimethoprime/Sufamethoxazole 23,75/1,25ug (Bt)"
"HKSĐCI","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐCI0000","Ciprofloxacin 5µg (Ci)"
"HKSĐCP","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐCP0000","Cephalexin 30µg (Cp)"
"HKSĐCS","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐCS0000","Cefoperazone/sulbactam 75/10µg (Cs)"
"HKSĐCT","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐCT0000","Cefotaxime 30ug (Ct)"
"HKSĐCX","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐCX0000","Ceftriaxone 30µg (Cx)"
"HKSĐDX","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐDX0000","Doxycycline 30ug (Dx)"
"HKSĐEF","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐEF0000","Enrofloxacin 5µg (Ef)"
"HKSĐFR","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐFR0000","Nitrofurantoin 300µg (Fr)"
"HKSĐIM","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐIM0000","Imipenem 10µg (Im)"
"HKSĐLI","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐLI0000","Linezolid 30µg (Li)"
"HKSĐLV","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐLV0000","Levofloxacin 5µg (Lv)"
"HKSĐMA","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐMA0000","Marbofloxacin 5µg (Ma)"
"HKSĐMC","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐMC0000","Máu Cừu"
"HKSĐME","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐME0000","Meropenem 10µg (Me)"
"HKSĐNL","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐNL0000","Netilmicin 30µg (Nl)"
"HKSĐNR","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐNR0000","Norfloxacin 10µg (Nr)"
"HKSĐOF","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐOF0000","Ofloxacin 5µg (Of)"
"HKSĐPT","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐPT0000","Piperacillin/tazobactam 100/10µg (Pt)"
"HKSĐRF","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐRF0000","Rifampicin 5µg (Rf)"
"HKSĐTB","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐTB0000","Tobramycin 10µg (Tb)"
"HKSĐTC","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐTC0000","Ticarcillin/clavulanic acid 75/10µg (Tc)"
"HKSĐTE","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐTE0000","Tetracycline 30ug (Te)"
"HKSĐVA","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HKSĐVA0000","Vancomycin 30µg (Va)"
"DDOP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","PK","Hàng hóa","1","DDOP1008","Dây dắt hộp PocketWalker (5kg) màu vàng #92517"
"TLCM","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","PK","Hàng hóa","1","TLCM01","THẢM LÔNG CN1 M"
"HQTLEP","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HQTLEP0000","Que test Leptospiria"
"HQTTĐH","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HQTTĐH0000","Que thử dùng cho máy đo đường huyết thú y VQPET H (VivaChek, Trung Quốc)"
"HQTTNT","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HQTTNT0000","Que thử nước tiểu 15 thông số dùng cho máy UA-60V (Mindray)"
"HQTVSD","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","HQTVSD0000","Vcheck SDMA"
"HQTVT","Tiền tố mã ngắn chưa có ánh xạ","KHAC","Chưa rõ","1","HQTVT40000","Vcheck T4"
"PC","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","YT","Thuốc","1","PC51O01","Prolax (cat)_ống 5ml_Hộp 10 ống"
"MQTFCV","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","MQTFCV0000","Que test FCV"
"MQTFEL","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","MQTFEL0000","Que test FeLV"
"MQTFHV","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","MQTFHV0000","Que test FHV"
"MQTFIV","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","MQTFIV0000","Que test FiV"
"MQTFPL","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","MQTFPL0000","Vcheck fPL 2.0"
"MQTFPV","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","MQTFPV0000","Que test FPV"
"MQTIGE","Nhóm HH (ký tự 2–3) ngoài quy ước","VT","Hàng hóa","1","MQTIGE0000","Chất thử thí nghiệm FeAllergen IgE, code VIB-FAIGE dùng trong phòng thí nghiệm"
"TACM","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","TA","Hàng hóa","1","TACM1085","TA hỗn hợp hoàn chỉnh cho mèo - ANF 6Free+Indoor Cat Kitten 1.6kg"
"MTH","Tiền tố mã ngắn chưa có ánh xạ","KHAC","Chưa rõ","1","MTH1001","Men Clostop SP 20gr"
"R","Tiền tố mã ngắn chưa có ánh xạ","KHAC","Chưa rõ","1","R01","Respicure_60viên/Chai(100mg/v)"
